X Y Z D
0 0.0416667 0.0166667 4750
0.00833333 0.0416667 0.0166667 6500
0.0166667 0.0416667 0.0166667 6500
0.025 0.0416667 0.0166667 4750
0.0333333 0.0416667 0.0166667 6500
0.0416667 0.0416667 0.0166667 6500
0.05 0.0416667 0.0166667 4750
0 0.05 0.0166667 4750
0.00833333 0.05 0.0166667 6500
0.0166667 0.05 0.0166667 6500
0.025 0.05 0.0166667 4750
0.0333333 0.05 0.0166667 6500
0.0416667 0.05 0.0166667 4750
0.05 0.05 0.0166667 6500
0 0 0.025 6500
0.00833333 0 0.025 6500
0.0166667 0 0.025 4750
0.025 0 0.025 4750
0.0333333 0 0.025 4750
0.0416667 0 0.025 6500
0.05 0 0.025 4750
0 0.00833333 0.025 4750
0.00833333 0.00833333 0.025 4750
0.0166667 0.00833333 0.025 6500
0.025 0.00833333 0.025 4750
0.0333333 0.00833333 0.025 6500
0.0416667 0.00833333 0.025 4750
0.05 0.00833333 0.025 4750
0 0.0166667 0.025 6500
0.00833333 0.0166667 0.025 4750
0.0166667 0.0166667 0.025 4750
0.025 0.0166667 0.025 6500
0.0333333 0.0166667 0.025 6500
0.0416667 0.0166667 0.025 4750
0.05 0.0166667 0.025 4750
0 0.025 0.025 6500
0.00833333 0.025 0.025 6500
0.0166667 0.025 0.025 6500
0.025 0.025 0.025 6500
0.0333333 0.025 0.025 6500
0.0416667 0.025 0.025 4750
0.05 0.025 0.025 4750
0 0.0333333 0.025 6500
0.00833333 0.0333333 0.025 4750
0.0166667 0.0333333 0.025 4750
0.025 0.0333333 0.025 4750
0.0333333 0.0333333 0.025 6500
0.0416667 0.0333333 0.025 4750
0.05 0.0333333 0.025 4750
0 0.0416667 0.025 4750
0.00833333 0.0416667 0.025 4750
0.0166667 0.0416667 0.025 6500
0.025 0.0416667 0.025 6500
0.0333333 0.0416667 0.025 6500
0.0416667 0.0416667 0.025 4750
0.05 0.0416667 0.025 6500
0 0.05 0.025 6500
0.00833333 0.05 0.025 4750
0.0166667 0.05 0.025 6500
0.025 0.05 0.025 4750
0.0333333 0.05 0.025 4750
0.0416667 0.05 0.025 6500
0.05 0.05 0.025 6500
0 0 0.0333333 4750
0.00833333 0 0.0333333 4750
0.0166667 0 0.0333333 6500
0.025 0 0.0333333 6500
0.0333333 0 0.0333333 6500
0.0416667 0 0.0333333 4750
0.05 0 0.0333333 4750
0 0.00833333 0.0333333 4750
0.00833333 0.00833333 0.0333333 4750
0.0166667 0.00833333 0.0333333 4750
0.025 0.00833333 0.0333333 6500
0.0333333 0.00833333 0.0333333 6500
0.0416667 0.00833333 0.0333333 6500
0.05 0.00833333 0.0333333 6500
0 0.0166667 0.0333333 4750
0.00833333 0.0166667 0.0333333 4750
0.0166667 0.0166667 0.0333333 6500
0.025 0.0166667 0.0333333 6500
0.0333333 0.0166667 0.0333333 6500
0.0416667 0.0166667 0.0333333 4750
0.05 0.0166667 0.0333333 4750
0 0.025 0.0333333 4750
0.00833333 0.025 0.0333333 4750
0.0166667 0.025 0.0333333 4750
0.025 0.025 0.0333333 4750
0.0333333 0.025 0.0333333 4750
0.0416667 0.025 0.0333333 4750
0.05 0.025 0.0333333 6500
0 0.0333333 0.0333333 6500
0.00833333 0.0333333 0.0333333 4750
0.0166667 0.0333333 0.0333333 6500
0.025 0.0333333 0.0333333 6500
0.0333333 0.0333333 0.0333333 4750
0.0416667 0.0333333 0.0333333 4750
0.05 0.0333333 0.0333333 4750
0 0.0416667 0.0333333 4750
0.00833333 0.0416667 0.0333333 4750
0.0166667 0.0416667 0.0333333 4750
0.025 0.0416667 0.0333333 4750
0.0333333 0.0416667 0.0333333 4750
0.0416667 0.0416667 0.0333333 6500
0.05 0.0416667 0.0333333 4750
0 0.05 0.0333333 4750
0.00833333 0.05 0.0333333 4750
0.0166667 0.05 0.0333333 4750
0.025 0.05 0.0333333 6500
0.0333333 0.05 0.0333333 6500
0.0416667 0.05 0.0333333 6500
0.05 0.05 0.0333333 6500
0 0 0.0416667 6500
0.00833333 0 0.0416667 4750
0.0166667 0 0.0416667 4750
0.025 0 0.0416667 4750
0.0333333 0 0.0416667 6500
0.0416667 0 0.0416667 4750
0.05 0 0.0416667 6500
0 0.00833333 0.0416667 4750
0.00833333 0.00833333 0.0416667 4750
0.0166667 0.00833333 0.0416667 4750
0.025 0.00833333 0.0416667 4750
0.0333333 0.00833333 0.0416667 4750
0.0416667 0.00833333 0.0416667 4750
0.05 0.00833333 0.0416667 4750
0 0.0166667 0.0416667 4750
0.00833333 0.0166667 0.0416667 6500
0.0166667 0.0166667 0.0416667 6500
0.025 0.0166667 0.0416667 6500
0.0333333 0.0166667 0.0416667 4750
0.0416667 0.0166667 0.0416667 6500
0.05 0.0166667 0.0416667 4750
0 0.025 0.0416667 4750
0.00833333 0.025 0.0416667 4750
0.0166667 0.025 0.0416667 4750
0.025 0.025 0.0416667 6500
0.0333333 0.025 0.0416667 4750
0.0416667 0.025 0.0416667 6500
0.05 0.025 0.0416667 4750
0 0.0333333 0.0416667 6500
0.00833333 0.0333333 0.0416667 6500
0.0166667 0.0333333 0.0416667 6500
0.025 0.0333333 0.0416667 4750
0.0333333 0.0333333 0.0416667 6500
0.0416667 0.0333333 0.0416667 4750
0.05 0.0333333 0.0416667 4750
0 0.0416667 0.0416667 4750
0.00833333 0.0416667 0.0416667 6500
0.0166667 0.0416667 0.0416667 4750
0.025 0.0416667 0.0416667 6500
0.0333333 0.0416667 0.0416667 6500
0.0416667 0.0416667 0.0416667 4750
0.05 0.0416667 0.0416667 6500
0 0.05 0.0416667 4750
0.00833333 0.05 0.0416667 4750
0.0166667 0.05 0.0416667 6500
0.025 0.05 0.0416667 4750
0.0333333 0.05 0.0416667 4750
0.0416667 0.05 0.0416667 4750
0.05 0.05 0.0416667 6500
0 0 0.05 6500
0.00833333 0 0.05 6500
0.0166667 0 0.05 4750
0.025 0 0.05 6500
0.0333333 0 0.05 4750
0.0416667 0 0.05 4750
0.05 0 0.05 4750
0 0.00833333 0.05 4750
0.00833333 0.00833333 0.05 6500
0.0166667 0.00833333 0.05 6500
0.025 0.00833333 0.05 4750
0.0333333 0.00833333 0.05 4750
0.0416667 0.00833333 0.05 6500
0.05 0.00833333 0.05 6500
0 0.0166667 0.05 4750
0.00833333 0.0166667 0.05 6500
0.0166667 0.0166667 0.05 6500
0.025 0.0166667 0.05 6500
0.0333333 0.0166667 0.05 4750
0.0416667 0.0166667 0.05 4750
0.05 0.0166667 0.05 4750
0 0.025 0.05 4750
0.00833333 0.025 0.05 6500
0.0166667 0.025 0.05 4750
0.025 0.025 0.05 4750
0.0333333 0.025 0.05 4750
0.0416667 0.025 0.05 4750
0.05 0.025 0.05 4750
0 0.0333333 0.05 4750
0.00833333 0.0333333 0.05 4750
0.0166667 0.0333333 0.05 4750
0.025 0.0333333 0.05 6500
0.0333333 0.0333333 0.05 6500
0.0416667 0.0333333 0.05 4750
0.05 0.0333333 0.05 4750
0 0.0416667 0.05 4750
0.00833333 0.0416667 0.05 4750
0.0166667 0.0416667 0.05 4750
0.025 0.0416667 0.05 4750
0.0333333 0.0416667 0.05 6500
0.0416667 0.0416667 0.05 4750
0.05 0.0416667 0.05 6500
0 0.05 0.05 3000
0.00833333 0.05 0.05 4750
0.0166667 0.05 0.05 4750
0.025 0.05 0.05 4750
0.0333333 0.05 0.05 6500
0.0416667 0.05 0.05 4750
0.05 0.05 0.05 6500
